CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"10865","GEOP 5095-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Jolante W. Van Wijk","10","10","0","0","N/A","Bookstore Link",
"11002","IT 122-01D","DE","MTWR","06/05/2023-07/28/2023","1600-1715","WEB-V","3","CLAS","Data Structure and Algorithms","Amy E. Knowles","5","5","0","0","N/A","Bookstore Link",
"10921","MTLS 5000-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Thomas D. Burleigh","5","5","0","0","N/A","Bookstore Link",
"10922","MTLS 5000-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Paul Fuierer","5","5","0","0","N/A","Bookstore Link",
"10923","MTLS 5000-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Chelsey Z. Hargather","5","5","0","0","N/A","Bookstore Link",
"10924","MTLS 5000-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Nikolai Kalugin","5","5","0","0","N/A","Bookstore Link",
"10925","MTLS 5000-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Bhaskar Majumdar","5","5","0","0","N/A","Bookstore Link",
"10926","MTLS 5000-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","John McCoy","5","5","0","0","N/A","Bookstore Link",
"10927","MTLS 5000-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Corey A. Leclerc","5","5","0","0","N/A","Bookstore Link",
"10928","MTLS 5000-08","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Michaelann S. Tartis","5","5","0","0","N/A","Bookstore Link",
"10929","MTLS 5000-09","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Pabitra Choudhury","5","5","0","0","N/A","Bookstore Link",
"10930","MTLS 5000-10","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Sanchari Chowdhury","5","5","0","0","N/A","Bookstore Link",
"10931","MTLS 5000-11","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Youngmin Lee","5","5","0","0","N/A","Bookstore Link",
"10932","MTLS 5000-12","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Deep Choudhuri","5","5","0","0","N/A","Bookstore Link",
"10984","MTLS 5000-13","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Donglee Shin","5","5","0","0","N/A","Bookstore Link",
"10933","MTLS 5091-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Thomas D. Burleigh","5","5","0","0","N/A","Bookstore Link",
"10934","MTLS 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Pabitra Choudhury","5","5","0","0","N/A","Bookstore Link",
"10935","MTLS 5091-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Sanchari Chowdhury","5","5","0","0","N/A","Bookstore Link",
"10936","MTLS 5091-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Paul Fuierer","5","5","0","0","N/A","Bookstore Link",
"10937","MTLS 5091-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Chelsey Z. Hargather","5","5","0","0","N/A","Bookstore Link",
"10938","MTLS 5091-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Deep Choudhuri","5","5","0","0","N/A","Bookstore Link",
"10939","MTLS 5091-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Nikolai Kalugin","5","5","0","0","N/A","Bookstore Link",
"10940","MTLS 5091-08","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Bhaskar Majumdar","5","5","0","0","N/A","Bookstore Link",
"10941","MTLS 5091-09","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","John McCoy","5","5","0","0","N/A","Bookstore Link",
"10942","MTLS 5091-10","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Corey A. Leclerc","5","5","0","0","N/A","Bookstore Link",
"10943","MTLS 5091-11","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Michaelann S. Tartis","5","5","0","0","N/A","Bookstore Link",
"10944","MTLS 5091-12","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Donglee Shin","5","5","0","0","N/A","Bookstore Link",
"10946","MTLS 5095-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Thomas D. Burleigh","5","5","0","0","N/A","Bookstore Link",
"10947","MTLS 5095-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Pabitra Choudhury","5","5","0","0","N/A","Bookstore Link",
"10948","MTLS 5095-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Sanchari Chowdhury","5","5","0","0","N/A","Bookstore Link",
"10949","MTLS 5095-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Paul Fuierer","5","5","0","0","N/A","Bookstore Link",
"10950","MTLS 5095-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Chelsey Z. Hargather","5","5","0","0","N/A","Bookstore Link",
"10951","MTLS 5095-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Deep Choudhuri","5","5","0","0","N/A","Bookstore Link",
"10952","MTLS 5095-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Nikolai Kalugin","5","5","0","0","N/A","Bookstore Link",
"10953","MTLS 5095-08","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Bhaskar Majumdar","5","5","0","0","N/A","Bookstore Link",
"10954","MTLS 5095-09","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","John McCoy","5","5","0","0","N/A","Bookstore Link",
"10955","MTLS 5095-10","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Michaelann S. Tartis","5","5","0","0","N/A","Bookstore Link",
"10956","MTLS 5095-11","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Donglee Shin","5","5","0","0","N/A","Bookstore Link",
"10957","MTLS 5095-12","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Deep Choudhuri","5","5","0","0","N/A","Bookstore Link",
"10122","MATH 1230-01","M","MTWRF","06/05/2023-07/28/2023","1100-1150",,"3","CLAS","Trigonometry",,"30","30","0","0","$5","Bookstore Link",
"10056","MATH 1230L-01","M","T R","06/05/2023-07/28/2023","1400-1525",,"0","CLAS","Trigonometry Lab",,"20","20","0","0","N/A","Bookstore Link",
"10123","MATH 1240-01","M","MTWRF","06/05/2023-07/28/2023","0900-0950",,"3","CLAS","Pre-Calculus",,"30","30","0","0","$5","Bookstore Link",
