CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"31517","CHEM 1225-04","M","MTW","01/16/2023-05/09/2023","1700-1750","LOPEZ 106","3","CLAS","General Chemistry II(Advanced)","Jeff A. Altig","5","24","19","0","N/A","Bookstore Link",
"30952","CHEM 1225L-01","M","M","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig","0","24","24","0","$150","Bookstore Link",
,,,,,,,,,,"Abigail R. Bonzon",,,,,,,
"30953","CHEM 1225L-02","M","M","01/16/2023-05/09/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig","8","24","16","0","$150","Bookstore Link",
,,,,,,,,,,"Jordyn Wemhoner",,,,,,,
"30954","CHEM 1225L-03","M","T","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig","0","24","24","0","$150","Bookstore Link",
,,,,,,,,,,"Malsha Indeewari Kanaththage",,,,,,,
"30955","CHEM 1225L-04","M","T","01/16/2023-05/09/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig","3","24","21","0","$150","Bookstore Link",
,,,,,,,,,,"Timothy J. Bonzon",,,,,,,
"30956","CHEM 1225L-05","M","W","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig","0","24","24","0","$150","Bookstore Link",
,,,,,,,,,,"Shimaa Z. Mehanna",,,,,,,
"30957","CHEM 1225L-06","M","R","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig","0","24","24","0","$150","Bookstore Link",
,,,,,,,,,,"Md Shahriar Hasan",,,,,,,
"30958","CHEM 1225L-07","M","F","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig","2","24","22","0","$150","Bookstore Link",
,,,,,,,,,,"Isabella R. Martinez Pruet",,,,,,,
"31424","CHEM 1225L-08","M","W","01/16/2023-05/09/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig","6","24","18","0","$150","Bookstore Link",
,,,,,,,,,,"Jason K. Leboeuf",,,,,,,
"31436","CHEM 1225L-09","M","R","01/16/2023-05/09/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig","11","24","13","0","$150","Bookstore Link",
,,,,,,,,,,"Shimaa Z. Mehanna",,,,,,,
"31415","CHEM 300-01","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Gayan R. Rubasinghege","5","5","0","0","N/A","Bookstore Link",
"31428","CHEM 300-02","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Sally C. Pias","5","5","0","0","N/A","Bookstore Link",
"31451","CHEM 300-03","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Menake E. Piyasena","5","5","0","0","N/A","Bookstore Link",
"31452","CHEM 300-04","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Praveen Patidar","4","5","1","0","N/A","Bookstore Link",
"31453","CHEM 300-05","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Wenyang Gao","4","5","1","0","N/A","Bookstore Link",
"31519","CHEM 300-06","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Nicolas E. Holubowitch","5","5","0","0","N/A","Bookstore Link",
